slug,Відповідальна особа,Категорія,Підкатегорія,товари,price,name,type,description,quantity,sold,global_rating(0-5),discount,not used
slug_001,Христя,Техніка,клавіатури,https://rozetka.com.ua/ua/razer_rz03_02741500_r3r1/p179599197/,1199,Клавіатура дротова Razer Cynosa Lite,Клавіатура,"Ігрова клавіатура Razer Cynosa Lite - це потужний девайс для геймерів-початківців, які прагнуть отримати миттєву перевагу. Клавіатура Razer Cynosa Lite оснащена клавішами ігрового рівня з можливістю запису макросів «на льоту» і ув'язненими в міцну конструкцію, що забезпечує захист від проливання рідин. Механізм клавіш мембранного типу дає приємні, м'які тактильні відчуття під час натискання, при збереженні високої точності. Використовуючи можливості Razer Chroma, проявіть творчий підхід з 16.8 мільйонами кольорів і налаштуйте підсвічування під ваш індивідуальний стиль гри.
Тип клавіатури -Мембранні
Під'єднання - Дротове
Розкладка - Eng / Ru
Підсвітка клавіш - RGB
Форма - Повнорозмірна
Особливості - Безшумна
Країна-виробник - Китай
Сумісність з ОС - Mac OS, Microsoft Windows
Інтерфейс - USB
Колір - Чорний",7,37,3,3,
slug_002,,,клавіатури,https://www.foxtrot.com.ua/uk/shop/klaviatury_a4tech_fstyler-fk15-white--usb.html,544,Клавіатура A4TECH Fstyler FK15,Клавіатура,"Характеристики: Інтерфейс - USB
Особливості - вологостійкість
Комплектація - клавіатура
Клас - стандартна
Конструкція - мембранна
Підключення - дротове
Кількість мультимедійних клавіш - 12
Розкладка - Eng / Ru / Ukr
Радіус дії/довжина кабеля - 1.5
Матеріал корпусу - пластик
Колір - білий
Розміри - 403 x 146 x 26мм
Вага клавіатури - 485г
Гарантія - 12 міс.
",5,4,4,1,
slug_003,,,клавіатури,https://www.foxtrot.com.ua/uk/shop/klaviatury_airon_easy-tap-z-tachpadom-4822352781088.html,1 499,Клавіатура AIRON Easy Tap з тачпадом,Клавіатура,"Характеристики
Інтерфейс - Bluetooth
Особливості - сенсорна панель; без цифрового блоку
Тип елементів живлення - вбудований акумулятор
Комплектація - клавіатура
Клас - мультимедійна
Конструкція - мембранна
Підключення - бездротове
Розкладка - Eng / Ru
Радіус дії/довжина кабеля - 100 см.
Матеріал корпусу - пластик
Колір - чорний
Розміри - 26 x 17 x 6мм
Вага клавіатури - 245г
Гарантія - 12 міс.
",7,36,1,5,
slug_004,,,навушники,https://rozetka.com.ua/ua/rztk_ms300b/p318858109/,1 199,Навушники RZTK MS300,Навушники,"Надлегка конструкція вагою 208 г, робить навушники практично невідчутними на голові
Тканинні повітропроникні амбушури, забезпечують ідеальний комфорт і звукоізоляцію.Надійне та міцне сталеве кріплення чаш створене для зручності регулювання і вибору максимально зручного положення навушників на голові.М'яка підкладка на дужці наголов'я, мінімізує тиск на голову, знижуючи напруження в разі тривалого використання.Навушники легко керуються однією рукою, позаяк усі кнопки інтегровані на лівому амбушурі. Легко перемикайтеся між музикою, грою і дзвінками без потреби виходу в системне меню.
Тип навушників - Повнорозмірні
Особливості - Android-сумісність, Apple-сумісність
Тип підключення - Комбіновані
Інтерфейс під'єднання - 3.5 мм (mini-Jack), Bluetooth
Мікрофон - Вбудований
Колір - Black and Green
Тип кріплення - З наголов'ям
Функції та можливості - Регулятор гучності,Функція відповіді на дзвінок
Підтримка кодеків - AAC, SBC
Матеріал амбушур - Тканина",8,19,1,10,
slug_005,,,навушники,https://rozetka.com.ua/ua/motorola_buds120_b/p332842153/,1 799,Навушники Motorola MOTO BUDS,Навушники,"MOTOROLA MOTO BUDS 120 такі легкі, такі мініатюрні та непомітні, що будуть просто невідчутними для тебе. А навколишнім доведеться попрацювати, щоб зрозуміти, що ти в навушниках. Студентам на замітку, до речі!
Тип навушників - TWS (2 окремо)
Особливості - Android-сумісність, Apple-сумісність, З вологозахистом, Світлодіодна підсвітка
Тип підключення - Бездротові
Інтерфейс під'єднання - Bluetooth
Мікрофон - Вбудований
Наявність активного шумозаглушення - Без активного шумозаглушення
Колір - Black
Тип кріплення - З кріпленням у вухах
Функції та можливості - Функція відповіді на дзвінок, Функція плеєра
Матеріал амбушур - Силікон",15,44,5,15,
slug_006,,,навушники,https://rozetka.com.ua/ua/hyperx_hx_hscsc2_bk_ww/p207566437/,1 199,Навушники HyperX Cloud Stinger Core PC,Навушники,"Сімейство гарнітур HyperX Cloud Stinger відомо завдяки високій якості звуку, легкої конструкції та надійності. Це чудова гарнітура для безлічі гравців, які починають свої пригоди. Підсильте ефект звукового занурення за допомогою об'ємного звуку 7.1, доступних через ПО NGENUITY. Доступні варіанти з провідним і бездротовим підключенням. Більшість моделей включає зручний мікрофон з функцією шумозаглушення і поворотним відключенням. Граєте на ПК, PlayStation або Xbox? У сімействі Stinger обов'язково знайдеться гарнітура, оптимізована для вашого стилю гри.
Тип навушників - Повнорозмірні
Особливості - Android-сумісність, Apple-сумісність, Playstation-сумісність
Тип підключення - Дротові
Інтерфейс під'єднання - 2 х 3.5 мм (mini-Jack), 3.5 мм (mini-Jack)
Мікрофон - Вбудований
Наявність активного шумозаглушення - Без активного шумозаглушення
Колір - Black
Функції та можливості - Регулятор гучності
Матеріал амбушур Тканина
Довжина шнура - 1.7 см",0,34,2,50,
slug_007,,,повербанки,https://rozetka.com.ua/ua/368171994/p368171994/,1 459,УМБ Baseus Bipow Digital Display,Повербанки,"Baseus Bipow Digital Display 20W 30000mAh — портативний зарядний пристрій із 4 роз'ємами та підтримкою швидкого заряджання.Корпус акумулятора пройшов лазерну обробку, тому має поліпшену текстуру, стійку до утворення відбитків пальців і приємну на дотик. Компактні розміри та відповідність міжнародним стандартам повітряних перевезень дають змогу взяти із собою в будь-яку поїздку.
Ємність батареї, мА*год - 30000
Призначення - Для телефонів, Для планшетів, Для ноутбуків
Для смарт-годинників та браслетів, Фотоапаратів
Тип заряджання - QC швидка зарядка 3.0
Заряджається від - USB
Вихідні інтерфейси - USB Type A, USB Type C
Вхідні інтерфейси - Micro-USB, USB Type C
Особливості - Швидке заряджання батареї
Вихідна напруга, В, 5, 9, 12
Вихідна сила струму, А, 1.5, 2, 2.22, 3
Тип акумуляторів - Літій-полімерні (Li-pol)",13,9,2,55,
slug_008,,,повербанки,https://www.foxtrot.com.ua/uk/shop/portativnie_zariadnie_ustroistva_line-art_mirror--4000-ma-ch--dzerkalo-z-pidsv--4004m-12.html,844,Powerbank Line Art Mirror,Повербанки,"Характеристики
Вихідні роз'єми інтерфейси - USB
Сила струму на виході - 2 A
Торгова марка - Line Art
Ємність - 4000мАг
Тип акумулятора - Li-Pol
Вхідний роз'єм - micro-USB
Кількість USB - 1шт.
Розміри - 90 х 90 х 24
Вага - 180 г
Матеріал корпусу - пластик
Колір - рожевий
Комплектація - micro-USB разъем типа B
Гарантія - гарантія від виробника
",8,9,3,0,
slug_009,,,повербанки,https://www.foxtrot.com.ua/uk/shop/portativnie_zariadnie_ustroistva_vinga_10000-mah-wireless-qc3-0-pd-soft-touch-purple.html,899,Powerbank VINGA Wireless,Повербанки,"Вихідні роз'єми інтерфейси - USB; USB Type-C
Сила струму на виході - 1 A; 1.5 A; 2 A; 3 A
Захист - від перенапруги; від перезарядки; від повної розрядки; від короткого замикання
Особливості - протиковзаючий майданчик; швидка зарядка; бездротова зарядка
Торгова марка - VINGA
Ємність - 10000мАг
Тип акумулятора - Li-Pol
Вхідний роз'єм - micro-USB, USB Type-C
Кількість USB - 2шт.
Тривалість зарядки портативної батареї - 6год
Кількість сегментів індикації рівня заряду - 5
Розміри - 151.5 x 72 x 15.5
Вага - 239 г.
Матеріал корпусу - пластик
Колір - пурпурний
Гарантія - 12 міс.
",9,33,2,,
slug_010,,,настільні лампи,https://www.foxtrot.com.ua/uk/shop/svetilniki_mediarange_lampa_nastilna_stylish_led_with_different_light.html,1999.22,Настільна лампа MEDIARANGE Stylish LED,Настільні лампи,"Характеристики
Тип живлення - від мережі
Особливості - регулювання колірної температури; дисплей; USB-порт; поворотний механізм; календар; будильник; регулювання яскравості світла
Тип - LED
Тип вимикача - сенсор
Клас енергоефективності - A
Колір - білий
Висота - 44.5см
Світловий потік - 450Лм
Регулювання яскравості - Так
Гарантія - 6 міс.
",4,20,4,10,
